State,Program,College/University,Years Post Grad,Cohort,Average Earnings
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2001,"$96,594.67 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UT HEALTH CENTER-SAN ANTONIO,10,2004,"$96,465.00 "
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$96,298.33 "
TX,ARCHITECTURAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$96,035.33 "
TX,PHYSICS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$95,980.67 "
CO,CONSTRUCTION ENGINEERING TECHNOLOGIES,COLORADO STATE UNIVERSITY,10,1998,"$95,951.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2004,"$95,726.00 "
TX,CHEMISTRY,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,"$95,725.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS - BROWNSVILLE,1,2004,"$95,656.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2004,"$95,538.67 "
CO,ENGINEERING PHYSICS,COLORADO SCHOOL OF MINES,10,2004,"$95,463.00 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",COLORADO STATE UNIVERSITY,10,2001,"$95,340.33 "
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$95,309.00 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2004,"$95,280.67 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,"$95,167.33 "
CO,COMPUTER SCIENCE,METROPOLITAN STATE UNIVERSITY OF DENVER,10,2004,"$95,030.33 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,1998,"$95,011.67 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,"$94,883.00 "
CO,METALLURGICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,"$94,786.00 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$94,783.00 "
CO,CIVIL ENGINEERING,UNIVERSITY OF COLORADO DENVER,10,1998,"$94,740.00 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$94,664.00 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,"$94,584.67 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$94,404.00 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,5,2001,"$94,372.33 "
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO DENVER,10,2001,"$94,370.33 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2001,"$94,341.33 "
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,10,2001,"$94,320.67 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2001,"$94,192.33 "
CO,MINING AND MINERAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,"$94,000.67 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$93,966.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$93,745.00 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,"$93,585.00 "
