State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2004,95280
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,95167
CO,COMPUTER SCIENCE,METROPOLITAN STATE UNIVERSITY OF DENVER,10,2004,95030
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,1998,95011
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,94883
CO,METALLURGICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,94786
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,10,1998,94783
CO,CIVIL ENGINEERING,UNIVERSITY OF COLORADO DENVER,10,1998,94740
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2001,94664
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,94584
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2007,94404
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,5,2001,94372
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO DENVER,10,2001,94370
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2001,94341
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,10,2001,94320
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2001,94192
CO,MINING AND MINERAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,94000
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,10,2004,93966
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,5,2001,93745
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,93585
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-AUSTIN,10,2001,93515
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,93504
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,5,2007,93441
CO,COMPUTER ENGINEERING,COLORADO STATE UNIVERSITY,5,2004,93431
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,10,2001,93381
TX,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",UNIVERSITY OF TEXAS-AUSTIN,10,2004,93225
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,93203
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,1998,92786
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,92707
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2001,92599
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY,10,2001,92436
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2001,92389
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,92342
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,92253
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2001,92212
CO,MECHANICAL ENGINEERING,UNIV OF COLORADO AT COLO SPRINGS,10,2004,92190
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,92105
CO,COMPUTER SCIENCE,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,92078
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,10,2004,91913
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,91879
CO,MECHANICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2004,91771
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS MEDICAL BRANCH,10,2004,91392
TX,MATHEMATICS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,91366
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2001,91229
CO,ARCHITECTURAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,91168
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,1998,91013
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS HEALTH SCIENCE CENTER,10,2004,90956
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-EL PASO,10,2004,90882
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,10,2001,90609
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,10,2001,90428
CO,ENGINEERING PHYSICS,COLORADO SCHOOL OF MINES,10,2001,90419
CO,CONSTRUCTION ENGINEERING TECHNOLOGIES,COLORADO STATE UNIVERSITY,10,2004,90323
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2001,90206
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,90154
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,10,2001,90051
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,5,2007,89963
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2001,89788
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,89692
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,89692
CO,MECHANICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,1998,89662
CO,COMPUTER ENGINEERING,COLORADO STATE UNIVERSITY,5,2007,89610
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO DENVER,10,2001,89470
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2001,89461
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,5,2001,89424
CO,FIRE PROTECTION,COLORADO STATE UNIVERSITY,1,2013,89412
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS HEALTH SCIENCE CENTER,10,2001,89409
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,5,1998,89355
